species,genus,sc_mean,sc_std,sc_p10,sc_p50,sc_p90,ch0_mean,ch0_std,ch1_mean,ch1_std,ch2_mean,ch2_std,ch3_mean,ch3_std,ch4_mean,ch4_std,ch5_mean,ch5_std,ch6_mean,ch6_std,ch7_mean,ch7_std,ch8_mean,ch8_std,ch9_mean,ch9_std,ch10_mean,ch10_std,ch11_mean,ch11_std
vanellus,Vanellus,3748.2928506753296,578.3992591658766,2977.8237404208458,3805.9067434988924,4438.973190427274,0.2964455783367157,0.19011616706848145,0.2568363845348358,0.3151746988296509,0.06649033725261688,0.12062247842550278,0.09924264252185822,0.19859586656093597,0.20842090249061584,0.3504534065723419,0.4520602822303772,0.35778486728668213,0.5061023831367493,0.4259403645992279,0.15031258761882782,0.24786540865898132,0.13656584918498993,0.25115635991096497,0.18127647042274475,0.27055823802948,0.25119420886039734,0.31511929631233215,0.38309404253959656,0.3989488184452057
vanellus,Vanellus,3220.4775098687774,324.4001338847859,2902.653057862832,3096.753934677337,3711.6109087147115,0.07724639773368835,0.10164519399404526,0.19940325617790222,0.22353911399841309,0.09681609272956848,0.11664370447397232,0.2394256889820099,0.22808955609798431,0.8564773201942444,0.2748841941356659,0.4198068082332611,0.2680094838142395,0.13129176199436188,0.24605074524879456,0.15385831892490387,0.2423076182603836,0.24580854177474976,0.3306489586830139,0.14856843650341034,0.2118300199508667,0.22290897369384766,0.3527304530143738,0.08474390208721161,0.10151426494121552
vanellus,Vanellus,3764.044371830571,283.65648780998265,3446.3257573457795,3680.2087144119923,4172.024787553447,0.15296953916549683,0.22150801122188568,0.2960197925567627,0.4194842278957367,0.14208358526229858,0.20100821554660797,0.11790934205055237,0.113407202064991,0.3690766990184784,0.37311747670173645,0.1297425627708435,0.11867878586053848,0.07532375305891037,0.09463007748126984,0.265865683555603,0.297352135181427,0.4225805103778839,0.3593129813671112,0.5803273916244507,0.3684998154640198,0.353147953748703,0.35962170362472534,0.13621950149536133,0.17956297099590302
vanellus,Vanellus,4538.237323472596,351.8136857262209,4182.8467564842485,4489.298127514177,4922.7292970689505,0.3375230133533478,0.35117170214653015,0.5362756252288818,0.4341886341571808,0.19116541743278503,0.2946091592311859,0.02038956806063652,0.015087703242897987,0.03442491590976715,0.025763794779777527,0.11710669100284576,0.11901316791772842,0.24413777887821198,0.33117571473121643,0.029529385268688202,0.04337611049413681,0.012525320053100586,0.021092843264341354,0.14089050889015198,0.2612205445766449,0.2599485516548157,0.3390594720840454,0.29006078839302063,0.3859030604362488
vanellus,Vanellus,4661.3974411338195,308.3760324319081,4339.413927824399,4631.044736513055,5035.701798218954,0.2415272444486618,0.33466580510139465,0.13492456078529358,0.09261481463909149,0.06147301197052002,0.07037176191806793,0.0958135649561882,0.1547408550977707,0.17798641324043274,0.2664220929145813,0.39314496517181396,0.35555848479270935,0.5342410802841187,0.44472184777259827,0.13246922194957733,0.16394205391407013,0.010587879456579685,0.01303007546812296,0.062186386436223984,0.11367245018482208,0.1941949725151062,0.35463041067123413,0.22368210554122925,0.3216554820537567
vanellus,Vanellus,4170.270056499067,343.038186709692,3728.985691272273,4171.752376808536,4582.487220285281,0.23704013228416443,0.18125683069229126,0.15599650144577026,0.16802068054676056,0.28726691007614136,0.32699844241142273,0.2804875075817108,0.3068278729915619,0.2889558970928192,0.3138430714607239,0.39918941259384155,0.36508429050445557,0.3349611163139343,0.3776562511920929,0.22578273713588715,0.3375631868839264,0.15785811841487885,0.2886825501918793,0.1180855855345726,0.2142179161310196,0.1671309769153595,0.19158804416656494,0.445231169462204,0.4207790791988373
vanellus,Vanellus,4611.426505090522,61.52175089542203,4534.607855399119,4616.555411506655,4672.724973822841,0.3413408100605011,0.32621318101882935,0.1543220430612564,0.2688177824020386,0.27148663997650146,0.39778226613998413,0.16110339760780334,0.291672021150589,0.23371094465255737,0.19640126824378967,0.349960058927536,0.39722198247909546,0.11001109331846237,0.18401558697223663,0.04690921679139137,0.055003125220537186,0.06246192753314972,0.05281947925686836,0.05670889467000961,0.08180878311395645,0.0606079176068306,0.08853954821825027,0.4873746633529663,0.4615173041820526
vanellus,Vanellus,4691.786730278888,375.6601161796794,4090.7866164288257,4754.888682367215,5168.05366681886,0.1590803563594818,0.17670340836048126,0.24858739972114563,0.2847735583782196,0.34046670794487,0.4055492579936981,0.35149577260017395,0.27310678362846375,0.5477620363235474,0.3894807696342468,0.2437971979379654,0.15545663237571716,0.2914901673793793,0.33173298835754395,0.12380068749189377,0.10999781638383865,0.17531292140483856,0.19580477476119995,0.1609010100364685,0.1016438901424408,0.2752658426761627,0.29001984000205994,0.38049423694610596,0.4095986485481262
vanellus,Vanellus,4247.812568329297,252.9961880514572,3916.0805032268336,4353.30212726319,4480.943128978183,0.21240980923175812,0.30340835452079773,0.10477935522794724,0.12610355019569397,0.1431918740272522,0.15674751996994019,0.2845190763473511,0.2799736559391022,0.24880768358707428,0.15697042644023895,0.07312332093715668,0.06167428940534592,0.03539193421602249,0.04331188648939133,0.08451294153928757,0.0972122848033905,0.3576031029224396,0.3259042203426361,0.6805798411369324,0.32705801725387573,0.5023658871650696,0.35993489623069763,0.3430149257183075,0.38903161883354187
vanellus,Vanellus,4511.165415457931,337.7488010165841,4032.059988728561,4470.570695074506,4930.046945747574,0.7244874238967896,0.34016674757003784,0.44035860896110535,0.3330790102481842,0.12306296080350876,0.18972007930278778,0.06851767748594284,0.04270773008465767,0.13748900592327118,0.12477771937847137,0.5136392712593079,0.270851194858551,0.49219629168510437,0.3435096740722656,0.24052278697490692,0.34831205010414124,0.10835357755422592,0.10756692290306091,0.07813442498445511,0.047477349638938904,0.05823059380054474,0.043611060827970505,0.2720078229904175,0.27461761236190796
vanellus,Vanellus,4335.9179756314115,330.4665274346889,3929.418353813581,4352.290751676552,4720.3671719428485,0.11135974526405334,0.23857200145721436,0.18929773569107056,0.25268661975860596,0.31548917293548584,0.3637559115886688,0.18380214273929596,0.27513742446899414,0.3327527344226837,0.26175421476364136,0.7928249835968018,0.2881600558757782,0.1758306920528412,0.17060649394989014,0.03476595878601074,0.05749303102493286,0.060586102306842804,0.11141574382781982,0.2136610448360443,0.26889124512672424,0.3844946324825287,0.3176727294921875,0.08377666771411896,0.09512798488140106
vanellus,Vanellus,5090.929141346735,403.67977062907005,4769.917957968526,4902.4009285761085,5636.761267790201,0.029768597334623337,0.05541045591235161,0.05053427442908287,0.10314062237739563,0.07417958229780197,0.10127025097608566,0.043554916977882385,0.07574154436588287,0.1217292919754982,0.10787687450647354,0.819223165512085,0.2781616449356079,0.3238079845905304,0.1561983972787857,0.08810178190469742,0.19598431885242462,0.06005952134728432,0.13072524964809418,0.0815553292632103,0.10577961057424545,0.4803175628185272,0.37190496921539307,0.2688717544078827,0.306769996881485
vanellus,Vanellus,4888.907084753297,399.70575645764706,4238.1465415672665,4987.687013835902,5268.829878765169,0.7104593515396118,0.3946363627910614,0.33230847120285034,0.3350602090358734,0.05667790398001671,0.08826498687267303,0.12424974888563156,0.18395912647247314,0.21880850195884705,0.2038794457912445,0.46047085523605347,0.2721981704235077,0.257263720035553,0.2786318361759186,0.104249969124794,0.19900621473789215,0.1305067241191864,0.2245461642742157,0.21283243596553802,0.18828697502613068,0.30843332409858704,0.34010711312294006,0.37961545586586,0.3326335847377777
vanellus,Vanellus,5342.8282239497,253.08571072205714,4936.5900643517725,5363.710343362632,5604.860576471832,0.1684090495109558,0.3494427800178528,0.11767220497131348,0.17723657190799713,0.13050197064876556,0.10332197695970535,0.07065103948116302,0.09357476979494095,0.26576536893844604,0.26922130584716797,0.7008724808692932,0.30127498507499695,0.272227942943573,0.2335345447063446,0.12858054041862488,0.2726805806159973,0.20222972333431244,0.35129326581954956,0.322380393743515,0.2902187407016754,0.7855405211448669,0.3513560891151428,0.33448684215545654,0.24877798557281494
vanellus,Vanellus,4344.749994596185,279.89844578541926,3943.925746167274,4379.057839451207,4642.863080495047,0.5011955499649048,0.45864737033843994,0.09844767302274704,0.11128591001033783,0.02517058327794075,0.03135410323739052,0.08128802478313446,0.12179448455572128,0.11918742954730988,0.11874223500490189,0.14425702393054962,0.13302451372146606,0.029514502733945847,0.029869481921195984,0.021177781745791435,0.0311373770236969,0.10882513225078583,0.21710462868213654,0.3258413076400757,0.4223053753376007,0.32625389099121094,0.3911029100418091,0.42199406027793884,0.3957410454750061
